question,answer
Will I be asked questions by this person?,"Is this person your representative (if you have one), such as a lawyer, friend, family member or someone from an advice centre?"
Is my contract legally binding?,Is the contract for payments below the minimum wage?
Can I increase my basic State Pension?,Yes
Does benefit cap apply to me?,Irrelevant
Can I export this product to North Korea?,Yes
Will my right to maternity be affected?,No
Am I eligible to claim Child Tax Credit?,Have you been living in the UK 3 months before your eligibility?
Do I have to pay Income Tax at a higher rate?,Yes
Is the B&I guaranteed loan program for me?,No
Do I qualify for assistance?,Are you not delinquent on federal debt?
Will I get the National Minimum Wage?,Yes
Do I need to apply for an EAD?,Yes
Is this program suitable for me?,Are you divorced?
Can this benefit reduced or stopped?,Yes
Do I have to pay tax on the whole lump sum?,Irrelevant
Can my Business use Centrepay?,Do you follow financial and privacy laws?
Am I committing benefit fraud?,Did you tell the office you're going abroad?
Do I have authority to view current and historical claims for the nominated service?,Is the service Home Care level 10?
Do I qualify for Guarantee Credit?,Do you live in Scotland or Wales?
Can my Business use Centrepay?,Will you have other payment methods to give your customers options on how they want to pay for goods and services?
Do I need to contact the office?,No
Is this program suitable for me?,Yes
May I be able to make a new claim?,No
Do I qualify for this program?,No
Can I qualify for Working Tax Credit?,Yes
Can I take my pension in one go?,No
Do I qualify for assistance?,Are you a family farmer?
Will my session time out?,Will you submit your update within 15 minutes of starting it?
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Can I claim back National Insurance?,Have you left?
Will I get the National Minimum Wage?,Are you of compulsory school age?
Can this benefit be reduced or stopped?,Do you get an industrial death benefit?
Do I need to wear a seat belt?,Are you older than 1 year old and there are more people in the vehicle than seat belts?
Can I appea the decision?,No
Does the SBA disaster assistance meet my needs?,Yes
Can I get Crisis Payment?,No
Can I export this product to North Korea?,Is it high quality cigars and cigarillos?
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Should I read the Credit Representatives Policy?,Yes
Can I register for VAT voluntarily?,Have you started selling items that aren't exempt?
Is this land eligible for wetland reserve easements?,Yes
Can I get charged a penalty?,Yes
Can this benefit reduced or stopped?,No
Can I get an additional one-year period after enactment to enroll for VA health care?,No
Do I need to wear a seat belt?,Do you have a disability or other medical condition that makes it unsafe or impossible to wear a seat belt?
Could I inherit part of my deceased partner’s Additional State Pension?,Did you partner reach state pension age before April 6 2016?
Do I need to ask for mandatory reconsideration?,Yes
Can I get a CAS?,"Are you continuing your medical, dentistry or medical science degree after completing an intercalated course?"
Can I take my pension in one go?,Yes
Are there special rules for calculating my gain?,Yes
Can this program help me?,Are you a state?
Can I be classed as a worker?,No
Could I be entitled to take Shared Parental Leave?,Yes
Do I qualify for Working Tax Credit?,"Is your self employed work commercial, regular and organised?"
Can I qualify for Working Tax Credit?,Are you over 25?
Can the VA help me with this purchase?,Yes
Can I claim and deal with tax credits for this person?,No
Are there special rules for exporting these chemicals?,No
Could I inherit part of my deceased partner’s Additional State Pension?,Did your marriage or civil partnership begin before 6 April 2016?
Do I need to tell  the office dealing with my benefit about this?,Do you think you are being overpaid?
Can this payment be stopped or reduced?,No
Can I complain about this?,No
Can bankruptcy be an option for me?,Do you owe past due federal taxes that you cannot pay?
Can this program help our institution?,Yes
Can I apply to become a tax credit appointee?,Yes
Do I qualify for this benefit program?,No
Does the SBA loan meet my needs?,No
Do I need to register?,No
Can I get vulnerable student bursary?,Do you you get Income Support or Universal Credit in your name?
Will my right to maternity be affected?,Did you and your employer agree to your type of work and pay before you came into work?
Can I export this product to North Korea?,No
Can I get any State Pension?,Yes
Do I qualify for Guarantee Credit?,No
Can this benefit be reduced or stopped?,No
Can I claim Disability Living Allowance mobility component?,Yes
Can openings be available to me?,Yes
Will I need to change the PIN each time?,Yes
Can I charge VAT on this?,Yes
Will my basic State Pension will be more than £122.30 per week?,Do you voluntary pay National Insurance?
Can I claim and deal with tax credits for this person?,Does your child claim tax credits for themselves?
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Yes
Does this program meet my needs?,Do you own a business or private non-profit organization?
May I be able to get Child Tax Credit?,Are you not working because you are sick or disabled?
Am I eligible for the Parenting Payment?,Do you meet principal carer rules and care for a child under 8 if you’re single or under 6 if you’re partnered?
Do I need a supplier document?,No
Can I access the Aged Care Online Services in my browser?,Is your browser Internet Explorer?
Can I carry on claiming Carer’s Allowance if I go on holiday?,No
Is this a digital service?,Yes
Is it my responsibility to contact the office in this situation?,Yes
Can the regular amount of benefit I get be reduced?,No
Can I stop paying Class 2 National Insurance?,Did you reach State Pension age?
Do I need to wear protective headgear?,Are you the passenger of a motorcycle or attached side car?
Do I need a supplier document?,Yes
Can this benefit reduced or stopped?,Yes
Can I claim SMP?,No
Can I get prosecuted for benefit fraud?,Did you failed to report overpayment?
Can I get Cold Weather Payments?,Yes
Am I eligible for the loan?,No
Do I need to include this if I write?,Yes
Can I charge VAT on this item?,Irrelevant
Do I qualify for the extra Savings Credit?,Yes
Can I get tax credits?,Are you ‘subject to immigration control’?
Am I entitled to the correct minimum wage,Are you a seafarer?
Does this insurance cover this Veteran?,No
Could I be able to stay longer to continue my course?,No
Can I apply to use Centrepay?,Yes
Am I eligible for the SBA 7(a) program?,No
Do I need a plant passport?,Yes
Can Tax Credit Office ask me to provide my business plan?,Yes
Does the loan meet my needs?,No
Can I get Public Housing?,Yes
Is this land eligible for agricultural easements?,Yes
Am I eligible for Working Tax Credit?,No
Is this a digital service?,Yes
Should I file for EAD renewal?,No
Can I use the loan for this expense?,Will it be used for minor real estate repairs?
Can I export this product to North Korea?,No
Can I get a low-interest loan towards my deposit?,Yes
Can I ask for mandatory reconsideration for this benefit?,Yes
Can ALE help this organisation?,Yes
Is marijuana illegal for me?,Yes
Can I export germplasm?,Irrelevant
Can I use the market value of the property when working out my gain?,No
Can I move livestock or poultry?,Do you have livestock or poultry?
Have I logged out properly?,No
Are there special rules for exporting these chemicals?,No
Can I apply to extend my leave to study?,Yes
Could I be able to stay longer to continue my course?,Irrelevant
Do I need an export licence for this medicine?,No
Can I register for VAT voluntarily?,Have you started selling items that aren't exempt?
Can I be classed as doing voluntary work?,No
Am I eligible?,Is your course a level 3 or 4 qualification?
Can I obtain an NADL?,Are you going to occupy the property as your primary residence?
Can I get tax relief?,No
Can this farmer get a credit from the FSA farm loan program?,Irrelevant
Can I claim and deal with tax credits for this person?,No
Can my payments go up?,Yes
Do I have to pay tax?,Yes
Can I appoint a Child Support representative?,No
Do I need to register?,Are you single?
Do I have the right to return to my job?,Are you on parental leave?
May I qualify for help from the U.S Department of Housing and Urban Development (HUD) to get affordable rental housing?,No
Am I entitled to the National Minimum Wage?,Yes
Can I claim this expense?,"Are the expenses travel expenses of 12p per mile if you drive, plus 2p per mile for up to 2 passengers?"
Does my child qualify for this benefit program?,Yes
Do I qualify for the Warm Home Discount Scheme?,Yes
Can I have a cooperative in this location?,"Is a cooperative prohibited by city, town, or county zoning laws?"
Am I eligible for a Tier 4 (General) student visa?,Do you have enough money to support yourself and pay for your course?
Can I claim and deal with tax credits for this person?,No
Do I qualify for the Warm Home Discount Scheme?,No
Do I qualify for assistance?,No
Are there special rules for exporting these chemicals?,Yes
Can my payments go up?,Yes
Is this land eligible for agricultural easements?,No
Can I only pay tax on the gain I've made since 5 April?,No
Can openings be available to me?,No
Can I be a designated provider for this person?,No
Does this loan meet my needs?,No
Can I get a CAS?,Are you applying for the first time to a new institution to complete a course you started at an institution that lost its Tier 4 sponsorship?
Does my child need to ride in an approved child safety seath?,No
Can I apply for Tier 4 student visa?,No
Can this payment be stopped or reduced?,No
Have I contributed through my National Insurance contributions?,Yes
Can I export this product to North Korea?,Is your product caviar or a caviar substitute?
Can I use online claiming?,Yes
Do I have the right to return to my job?,Have you taken less than 26 weeks of maternity leave?
May I be able to get Child Tax Credit?,No
Is it my responsibility to contact the office in this situation?,No
Do I need to wear a seat belt?,No
Can the VA help me with this purchase?,No
Can I export this product to North Korea?,No
May I be able to get Working Tax Credi?,Yes
Can I receive Clothing allowance?,Do you have a  service-connected disability?
Do I need a Human Services PKL certificate?,Do you wish to use other online services?
Can I inherit my spouse’s Additional State Pension?,Did your spouse die before they reached their State Pension age?
Can I apply for a Tier 4 (General) student visa?,No
Can I get Cold Weather Payments?,Do you get Universal Credit?
Can I have a cooperative in this location?,Yes
Does this payment count as paid work?,No
Do I get Winter Fuel Payment automatically?,Are you eligible for Winter Fuel Payment?
Can I be a designated provider for this person?,Are you age 21 or older?
Can I get tax relief?,Was the property occupied by a dependent relative?
Is this a legal commerical airport?,Yes
Can the VA help me with this purchase?,Are you a Veteran?
Could I inherit part of my deceased partner’s Additional State Pension?,Yes
Do I qualify for this benefit program?,No
Do Farm Ownernship Loans meet my needs?,Irrelevant
Can I use Aged Care Online Claiming?,Yes
Can I be a designated provider for this person?,Yes
Do I get the Additional State Pension automatically?,Irrelevant
Can I access the Aged Care Online Services in my browser?,Yes
Does this insurance cover this Veteran?,No
Can I ask for mandatory reconsideration for this benefit?,Is this benefit a Pension Credit?
Could I get Cold Weather Payments?,Do you get income-related Employment and Support Allowance
Can my Business use Centrepay?,Will you notify us of any changes to your Business or the goods and services you provide?
Am I eligible ?,Irrelevant
Do I need to wear a seat belt?,Do you have a disability or other medical condition that makes it unsafe or impossible to wear a seat belt?
Can I be classified as a worker?,Irrelevant
Can I get Cold Weather Payments?,Irrelevant
Do I have authority to lodge data for file upload?,No
Can this program help me?,No
Do I need to have a health certificate?,"Do you export fruit, vegetables or other plants to be used as food?"
Do I need to take this as evidence?,Are going to the hearing?
Do I need to tell you about social security agreements with other countries?,No
Do I have to pay Income Tax at a higher rate?,Yes
Can I appeal to the Social Security and Child Support Tribunal?,Yes
Can I claim this expense?,No
Can I be a designated provider for this person?,Yes
Will there will be any change to my rights and status?,No
Do I need to wear a seat belt?,Are you a mail carrier and in the process of delivering mail?
Do I qualify for Guarantee Credit?,No
Can I claim costs?,Has the Tax Credit Office admitted they made a mistake?
Can I export germplasm?,No
Am I eligible for a Tier 4 (General) student visa?,No
Do I qualify for this benefit program?,Are you a Native American/American Indian?
Does this program meet my needs?,Are you residing or traveling abroad?
Can I ge the full amount?,Do you only study part time?
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Does this payment count as paid work?,No
Can I claim bereavement benefits?,Yes
Does this loan meet my needs?,No
Can I get Winter Fuel Payment?,No
Can I ge the full amount?,Do you only study part time?
Can this decision be reconsidered?,Yes
Can I ask the Upper Tribunal (Administrative Appeals Chamber) for permission to appeal?,No
Can my other benefits be reduced?,Yes
Can my payments go up?,Yes
Can this payment be stopped or reduced?,No
Can I apply to become a tax credit appointee?,Irrelevant
Do I qualify for assistance?,No
Do I need to register for Aged Care Online Services?,Yes
Am I eligible for this program?,No
Can I get a low-interest loan towards my deposit?,Can you show that you cannot afford the home?
Does this guide apply to me?,Irrelevant
Do I have the right to return to my job?,No
Can I apply for a Tier 4 (General) student visa?,No
Can my Business use Centrepay?,No
Can I get Public Housing?,Yes
Can I search by Unique ID?,Irrelevant
May I be eligible for this program?,No
Do I qualify for this benefit program?,No
Do I need to wear a seat belt?,Do you have a disability or other medical condition that makes it unsafe or impossible to wear a seat belt?
Will I be charged a penalty?,No
Can I be classed as doing voluntary work?,Do you get certain limited benefits (for example reasonable travel or lunch expenses)?
Can I export this product to North Korea?,No
Can I apply for Working Tax Credit?,No
Am I entitled to the apprentice rate?,Are you 19 or over and in the first year of their apprenticeship?
Can I claim my Medicare benefit?,Yes
Do I have the right to return to my job?,No
Can I appoint a Child Support representative?,Is the person 18 years of age or older?
Am I eligible for EIDL?,No
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I qualify for Working Tax Credit?,Yes
Can I receive Clothing allowance?,No
Do I need to wear protective headgear?,Yes
Can I backdate this claim?,Has it been 4 years or less since your date of registration for goods you still have or goods that were used to make other goods you still have?
Can the ACEP help me?,Do you need  financial and technical assistance to help conserve agricultural lands and wetlands?
Can I complain about this?,No
Is the 7(a) loan program for me?,No
Do I qualify for this benefit program?,Are you at least 62 years old?
Can I use the Capital Gains Tax calculator?,Did you claim any reliefs other than private residence or letting?
Will I inherit the top up as part of my spouse's Additional State Pension?,No
Am I able to apply directly to my electricity supplier for help?,No
Will my application be sent to the Reviewing Committee?,Is your application against national importance?
Can I claim my Medicare benefit?,Do you have the Express Plus Medicare app?
Do I need a licence to export these chemicals?,Do the chemicals have military or potential military uses?
Can the regular amount of benefit I get be reduced?,Yes
Can I use the loan for this expense?,No
Am I eligible to claim Child Tax Credit?,Yes
Can I claim costs?,Yes
Does this loan meet my needs?,No
Am I eligible to enrol?,No
May I be able to get Working Tax Credit?,Yes
Will I need to change the PIN each time?,Irrelevant
Does this airport need an airport manager?,Yes
Do I have to file an annual income tax return for my business?,Irrelevant
Do I qualify for this program?,No
Can I call Debt Management Recovery From Estates now?,No
Do I need to claim the new State Pension?,Yes
Can Tax Credit Office ask me to provide my business plan?,Yes
Can I export this product to North Korea?,Are you exporting a pure bred horse?
Can I get tax relief?,No
Can I get Cold Weather Payments?,Yes
Can I get a low-interest loan towards my deposit?,No
Could I be able to stay longer to continue my course?,do you have a sponsor?
Can my Business use Centrepay?,Yes
Can I get a CAS?,No
Can I export this product to North Korea?,No
Do I have the right to return to my job?,Have you taken paternity leave?
Can I get Winter Fuel Payment?,No
Can I get Cold Weather Payments?,No
Can I get Winter Fuel Payment?,No
Can some of my benefit stop?,Yes
Can my tax credit go up or down?,No
Can I access the Aged Care Online Services in my browser?,No
Do I need a supplier document?,Are you selling seeds from ornamental plants with the EU?
Do I need to contact Debt Management Recovery From Estates?,Does the estate show the person who died shouldn't have received the income-related benefits they were on?
Can I apply for Tier 4 student visa for this course?,Is it a part-time leading to a qualification that’s at least level 7 on the Ofqual register
Is this a legal commerical airport?,Yes
Can my tax credit go up or down?,No
Do I need to tell you about social security agreements with other countries?,No
Will I get the National Minimum Wage?,No
Can I ge the full amount?,No
Can I get Guardian’s Allowance?,Are you getting a Child Benefit for a child whose parent have both died?
Can I get Cold Weather Payments?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Yes
Can my au pair be classified as a worker?,No
Can I get tax credits?,Yes
Do I need a plant passport?,No
Can I use the market value of the property when working out my gain?,did you inherit it?
Can I apply for a higher rate of Family Tax Benefit Part B?,No
Am I eligible for 16 to 19 Bursary Fund?,Do you study at a publicly funded school or college?
Am I allowed to purchase marijuana plants?,Yes
Can I be a designated provider for this person?,Has the patient signed his or her copy of the authorization form?
Can I claim this expense?,No
Does tax relief apply to this?,Yes
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Yes
Can the loan be guaranteed?,Do you meet regulatory requirements?
Can I get Public Housing?,Are you a low-income family?
Can I ask for mandatory reconsideration for this benefit?,Is this a personal independence payment (PIP)?
Can I claim and deal with tax credits for this person?,No
Do I qualify for assistance?,Do you have a good credit history?
Do I qualify for Guarantee Credit?,Yes
Can I claim this expense?,is it a meal?
Is it possible that I may have to pay UK tax on overseas property?,Did you return to the UK within 5 years of leaving?
Can I get SMP?,Yes
Can I take my pension in one go?,Yes
Can I get help about ‘interviews under caution’ from this organisation?,Are you contacting Citizen's Advice?
Do I need to follow special rules to export this?,"Are you exporting animal bones, protein and other by-products?"
Can I get a CAS?,No
Is this a legal commerical airport?,Are there  adequate toilet facilities approved by the proper authority in the community in which the commercial airport is located?
Do I need to wear a seat belt?,Irrelevant
Does tax relief apply to this?,Yes
Do I qualify for the extra Savings Credit?,Is your partner over the age of 65?
Am I entitled to the National Minimum Wage?,Are you a share fisherman?
Can this payment be stopped or reduced?,Do you get Statutory Maternity Pay?
Am I eligible to enrol?,No
Can I be classified as a worker?,Yes
Can I get Working Tax Credit?,No
Can I claim my Medicare benefit?,Do you have the Express Plus Medicare app?
Is it my responsibility to contact the office in this situation?,Do you believe these changes will affect your benefits?
Am I entitled to the National Minimum Wage?,Yes
Do I need a supplier document?,Are you selling roots from an ornamental plant within the EU?
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I inherit my spouse’s Additional State Pension?,No
Should I apply for the economic injury disaster loan?,No
Can I receive Clothing allowance?,No
Am I eligible to enrol?,Yes
Am I eligible?,Does your course start before 1 August 2016?
Can I get Winter Fuel Payment?,Yes
Can I claim and deal with tax credits for this person?,Do they both live with you?
Can I ge the full amount?,Do you have few expenses?
Can this benefit reduced or stopped?,No
Can I get a low-interest loan towards my deposit?,No
Do I qualify for assistance?,No
Can I ge the full amount?,No
Can this payment be stopped or reduced?,Yes
Can this benefit reduced or stopped?,is it a child benefit payment?
Can I charge VAT on this?,Is it a business good used for personal reasons?
Do I need to wear a seat belt?,Are you a mail carrier and in the process of delivering mail?
Can this benefit reduced or stopped?,No
Is my contract legally binding?,No
Can I charge VAT on this item?,Yes
Am I eligible for a Tier 4 (General) student visa?,No
Do I need to carry on paying National Insurance?,Yes
Am I eligible for this program?,Do you have at least 3 years history owning or operating  a fishery or comparable project?
Can I be considered for this program?,Yes
Does this loan meet my needs?,"Is your loan for less than 300,000?"
Will I get up to £2010?,No
Do I need a licence to export these chemicals?,No
Is a collateral required?,Yes
Do I have the right to return to my job?,No
Can I apply for a Tier 4 (General) student visa?,Yes
May I be able to get tax credits?,Have you been living in UK less than 5 years?
Am I eligible for unemployment benefits?,No
Do I need to tell  the office dealing with my benefit about this?,Yes
Can I use the Capital Gains Tax calculator?,No
Can I charge VAT on this?,Irrelevant
Can ALE help this organisation?,Yes
Does this loan meet my needs?,Do you need long term financing for the cost of aquacultural facilities in the Northwest Halibut/Sablefish and Alaskan Crab Fisheries?
Will the eACCR display?,Yes
Does tax relief apply to this?,No
Can I get SMP?,Yes
Can I only pay tax on the gain I've made since 5 April?,Yes
Am I eligible?,Are you purchasing or refinancing with an FHA-insured mortgage?
Do I qualify for Guarantee Credit?,Yes
May I be able to get Child Tax Credit?,Did you claim asylum before 5 February 2006?
Can I get Winter Fuel Payment?,Do you live in the UK?
Can I get Winter Fuel Payment?,No
Can I use the loan for this expense?,No
Can I appoint a Child Support representative?,Irrelevant
Do I have to pay Capital Gains Tax when I sell a property?,Yes
Is this a legal commerical airport?,Is there a public telephone?
Can some of my benefit stop?,No
Am I eligible for the Parenting Payment?,Do you meet principal carer rules and care for a child under 8 if you’re single or under 6 if you’re partnered?
Am I eligible for the loan?,No
Do I qualify for assistance?,No
Will I be asked questions by this person?,No
Will my GP have access to my immunisation records?,Yes
Is this a legal commerical airport?,Is there a public telephone?
Am I eligible for this program?,No
Do I need to contact the office?,Yes
Can I export this product to North Korea?,No
May I be able to get Child Tax Credit?,Are you from Macedonnia?
Could I receive my widowed parent's Additional State Pension again?,No
Is the Centrepay support service available right now?,No
Can I have a cooperative in this location?,No
Can ALE help this organisation?,Is the organisation a state or local government trying to protect working agricultural lands and limit non-agricultural uses of the land?
Have I contributed through my National Insurance contributions?,Were you looking after children under 12 and claiming Child Benefit?
Can I have a cooperative in this location?,Irrelevant
Can this benefit reduced or stopped?,is it a child benefit payment?
Can I register online?,Yes
May I be able to get Child Tax Credit?,Yes
Can I apply to extend my leave to study?,Is your sponsor  an overseas HEI?
Does the SBA loan meet my needs?,Do you experienced damage to your business?
Do I have authority to view a care recipient profile?,Yes
Can I use the loan for this expense?,Will the loan be used for minor real estate repairs or improvements?
Can I get an additional one-year period after enactment to enroll for VA health care?,No
Can I use online claiming?,Irrelevant
Can I send my appeal now?,Irrelevant
Will my GP have access to my immunisation records?,No
Am I committing benefit fraud?,Yes
Does this loan meet my needs?,Yes
Can this program help our institution?,No
Does tax relief apply to this?,Is it a pension contribution?
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Are you using Medicare Easyclaim for patient claims?
Can I get SMP?,No
Will I be charged a penalty?,Yes
Do I need a licence to export these chemicals?,Yes
Do I need to apply for an EAD?,No
Can I get a CAS?,Yes
Can I grow up to 15 plants?,Yes
Do I need to contact the office?,Yes
Can I claim this expense?,Are you going to tribunal?
Can I have a cooperative in this location?,No
Do I qualify for this program?,No
Will I be paid this month?,Yes
Can I stop paying Class 2 National Insurance?,Yes
May I qualify for VA health care benefits?,Were you in the Reserves or National Guard?
Can Tax Credit Office ask me to provide business records?,Is the average hourly profit from your self-employed work is less than the National Minimum Wage?
Do I need to use TRACES to create a commercial document?,Are you moving category 1 or 2 animal by-products?
Do I need to register?,No
Can I inherit my spouse’s Additional State Pension?,No
Can the VA help me with this purchase?,No
Do I qualify for this benefit?,No
Can I set end dated for deductions?,Is the payment for a set timeframe?
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,No
Does the SBA loan meet my needs?,Are you in declared disaster area?
Can I apply to a discretionary bursary?,Yes
Can I export this product to North Korea?,Yes
Am I eligible?,Yes
Will I get the National Minimum Wage?,Are you work shadowing?
Can ALE help this organisation?,Yes
Am I entitled to the apprentice rate?,Yes
Do I need a licence to export these chemicals?,Yes
Do I qualify for this benefit program?,Yes
Can I receive Clothing allowance?,"Are you a veteran who uses medication, which a physician has prescribed for a skin condition that is due to a service-connected disability and causes irreparable damage to the Veteran's outer garments?"
Can I ge the full amount?,No
Can my Business use Centrepay?,Yes
Can I get IIDB?,Yes
Do I need to register?,Are you part of a family?
Can I be a borrower?,No
Am I considered Veteran?,No
May I be able to get tax credits?,Yes
Is this income suitable for me?,Are you a disabled adult?
Can I get Winter Fuel Payment?,No
Do I have authority to view current and historical claims for the nominated service?,No
Can I use the same certificate?,Do you plan to export the same type of product again?
Can I claim SMP?,Yes
Do I need to pay UK tax on income or gains?,Are you a non-resident of UK?
May I be able to get Child Tax Credit?,Yes
Do I have to pay Capital Gains Tax when I sell a property?,Irrelevant
Do I need to tell  the office dealing with my benefit about this?,No
Can I apply for Tier 4 student visa for this course?,No
Can I claim online?,No
Do I qualify for this loan?,Irrelevant
Can this fund help me?,No
Can I call the helpline now?,No
Can I export this product to North Korea?,No
May I be eligible for Maternity Allowance?,Yes
Can I be classed as a worker?,No
Do I qualify for this program?,No
Can I claim bereavement benefits?,Are you in New Zealand?
Can I claim bereavement benefits?,Yes
Can I inherit my spouse’s Additional State Pension?,Did you start your marriage or civil partnership on or after 6 April 2016?
Does this program meet my needs?,No
Do I have the right to be offered a suitable alternative job?,No
Can I be a designated provider for this person?,Has the designated provider signed his or her own copy?
Can I qualify for a Winter Fuel Payment?,Yes
Can I get Crisis Payment?,Are you experiencing financial hardship?
Am I eligible for Head Start and Early Head Start?,Yes
Can it be paid to my dependent?,Yes
Can I use the market value of the property when working out my gain?,Yes
Am I in Priority Group 1-3?,Are you a service-connected Veteran who was a POW?
Could I be able to increase my new State Pension?,No
Can this benefit be reduced or stopped?,No
Is this savings option suitable for me?,do you want a zeo risk?
Can I contact the Tax Credit Office?,Are you an authorised intermediary?
Can I get Cold Weather Payments?,No
Can I use the loan for this expense?,Yes
Can Tax Credit Office ask me to provide business records?,No
Am I entitled to the National Minimum Wage?,"Are you a worker on a government employment programme, such as the Work Programme?"
Can I apply for Tier 4 student visa for this course?,Yes
Can I ask for mandatory reconsideration for this benefit?,Yes
Do I have the right to be offered a suitable alternative job?,Yes
Am I eligible for the SBA 7(a) program?,Is the business for-profit?
Can I receive Clothing allowance?,Are you a veteran who wears or uses a prosthetic or orthopedic appliance which tends to wear or tear clothing?
Can I claim bereavement benefits?,Are you in the Phillipines?
Can I charge VAT on this?,Is it a business good used for personal reasons?
Does the SBA loan meet my needs?,No
Am I eligible for Head Start and Early Head Start?,Yes
Does the loan meet my needs?,No
Can I export this product to North Korea?,No
Is my licence valid?,No
Can I get contribution-based ESA?,No
Can I be an individual borrower?,No
Do I qualify for assistance?,No
Can I get Winter Fuel Payment?,No
Am I entitled to the National Minimum Wage?,Are you a self-employed person running their own business?
Can I obtain an LDP?,Yes
May I be able to get Child Tax Credit?,No
Can I claim and deal with tax credits for this person?,Yes
Should I apply for this card?,No
Do I have to pay tax?,No
Can I export this plant?,Yes
Can I get an extra payment on top of my State Pension?,No
Can my payments go up?,Yes
Can I send my dispute form now?,Irrelevant
Do I need to wear a helmet?,Irrelevant
Am I able to claim the new State Pension?,Are you a woman born on or after 6 April 1953
Are there special rules for exporting these chemicals?,No
Can I use Aged Care Online Claiming?,Yes
Am I able to take all the money in my pension as a tax-free lump sum?,Yes
Do I qualify for this benefit program?,Are you at least 62 years old?
Am I eligible for the full basic State Pension?,No
Can I access the Aged Care Online Services in my browser?,Yes
Can I get Winter Fuel Payment?,No
Can I get Guardian’s Allowance?,Are you getting a Child Benefit for a child whose parent have both died?
Does the SBA loan meet my needs?,No
Can this benefit reduced or stopped?,Yes
Am I considered Veteran?,Yes
Can I get Cold Weather Payments?,Yes
Can I get the discount on my gas bill instead?,No
Can I get in-work Housing Benefit?,Yes
Do I need to wear a seat belt?,No
Can the VA help me with this purchase?,No
Can Educational and Career Counseling help me?,Irrelevant
Can I use Aged Care Online Claiming?,Yes
Do I qualify for Winter Fuel Payment?,do those other things apply to you?
Do I qualify for assistance?,Are you delinquent on a federal debt?
Can the regular amount of benefit I get be reduced?,No
Can I continue to get Savings Credit?,No
Can I only pay tax on the gain I've made since 5 April?,Irrelevant
Do I need to register?,Yes
Am I eligible?,Yes
Can I inherit my spouse’s Additional State Pension?,No
Could I be eligible for Shared Parental Leave?,Irrelevant
Can I increase my basic State Pension?,Do you need to receive more than the full amount?
Can I apply for Tier 4 student visa now?,No
Do I need to get consent for schedule services?,No
Can I export this product to North Korea?,No
Can I get charged a penalty?,Irrelevant
Am I eligible for this program?,Are you a US citizen?
Do I have to contact the department?,Irrelevant
Can my partner and I claim working tax credit?,Yes
May I qualify for VA health care benefits?,Were you active in the military?
Do I have the right to return to my job?,Are you taking  Shared Parental Leave?
Will I need my parents' income details?,Irrelevant
Do I have level 8 authority?,Yes
Can I claim SMP?,Yes
May I be able to get Child Tax Credit?,Yes
Can my Business use Centrepay?,No
Does this loan meet my needs?,Yes
Am I eligible for Head Start and Early Head Start?,Yes
Can I appoint a Child Support representative?,Is the person 18 years of age or older?
Can the Farm Service Agency help me?,Yes
Can I complain about this?,No
Can I ask for mandatory reconsideration for this benefit?,Yes
Can my tax credit be affected?,Does your partner get benefits from another EEA country?
Am I an appointee?,Did you just help someone complete their claim form?
Am I eligible for 16 to 19 Bursary Fund?,Yes
Can I stop paying Class 1 National Insurance?,Have you reached the State Pension age?
Can I apply for Tier 4 student visa for this course?,Is your course full-time leading to a qualification that’s at least level 6 on the Ofqual register?
Can this benefit reduced or stopped?,No
Do I qualify for Guarantee Credit?,Yes
Can I access the Aged Care Online Services in my browser?,No
Do I qualify for assistance?,No
Will my session automatically log out?,Have you been inactive for 10 minutes?
Do I have authority to view current and historical claims for the nominated service?,Yes
Can the VA help me with this purchase?,No
Does this program meet my needs?,Yes
Can I use the Capital Gains Tax calculator?,No
Will deductions stop?,Yes
Am I eligible for 16 to 19 Bursary Fund?,No
Can the VA help me with this purchase?,Are you disabled?
Can the VA help me with this purchase?,No
Can I get Cold Weather Payments?,Yes
Can this payment be stopped or reduced?,Do you get Maternity Allowance?
Can I ask HM Revenue and Customs (HMRC) to cancel my registration?,Yes
Can I use the loan for this expense?,No
Can I ask for mandatory reconsideration for this benefit?,No
Can I be a designated provider for this person?,No
Can I be made redundant?,Yes
Can I export this product to North Korea?,Is it high quality cigars and cigarillos?
Can I call Debt Management Recovery From Estates now?,Is it between 9am and 4pm?
Am I eligible for this program?,Do you have good credit and earnings records behind the project?
Am I eligible for Head Start and Early Head Start?,Yes
Is this benefit program suitable for me?,Irrelevant
Could I be considered as an employer?,Did you hire them?
Is my child eligible for Head Start and Early Head Start?,No
Can I get a health certificate?,Irrelevant
Can I ask for mandatory reconsideration for this benefit?,Is this benefit a Disability Living Allowance?
Do I need to include this if I write?,Yes
Do I need to wear a seat belt?,No
Does this count as work?,No
